[INFO]  Namespace(dataset='ml1m', name='transe', seed=2023, gpu='0', epochs=30, batch_size=64, lr=0.5, weight_decay=0, l2_lambda=0, max_grad_norm=5.0, embed_size=100, num_neg_samples=5, steps_per_checkpoint=200, device='cpu')
[INFO]  Parameters:['watched', 'cinematography_by_cinematographer', 'produced_by_prodcompany', 'belong_to_category', 'starred_by_actor', 'composed_by_composer', 'produced_in_country', 'related_to_wikipage', 'edited_by_editor', 'produced_by_producer', 'wrote_by_writter', 'directed_by_director', 'user.weight', 'product.weight', 'composer.weight', 'prodcompany.weight', 'country.weight', 'category.weight', 'actor.weight', 'cinematographer.weight', 'editor.weight', 'wikipage.weight', 'writter.weight', 'producer.weight', 'director.weight', 'watched_bias.weight', 'cinematography_by_cinematographer_bias.weight', 'produced_by_prodcompany_bias.weight', 'belong_to_category_bias.weight', 'starred_by_actor_bias.weight', 'composed_by_composer_bias.weight', 'produced_in_country_bias.weight', 'related_to_wikipage_bias.weight', 'edited_by_editor_bias.weight', 'produced_by_producer_bias.weight', 'wrote_by_writter_bias.weight', 'directed_by_director_bias.weight']
[INFO]  Epoch: 02 | Review: 665541/16709911 | Lr: 0.48009 | Smooth loss: 12.39905
[INFO]  Epoch: 02 | Review: 678341/16709911 | Lr: 0.47970 | Smooth loss: 12.36889
[INFO]  Epoch: 02 | Review: 691141/16709911 | Lr: 0.47932 | Smooth loss: 12.09771
[INFO]  Epoch: 02 | Review: 703941/16709911 | Lr: 0.47894 | Smooth loss: 12.35558
[INFO]  Epoch: 02 | Review: 716741/16709911 | Lr: 0.47856 | Smooth loss: 11.84128
[INFO]  Epoch: 02 | Review: 729541/16709911 | Lr: 0.47817 | Smooth loss: 11.96985
[INFO]  Epoch: 02 | Review: 742341/16709911 | Lr: 0.47779 | Smooth loss: 12.01023
[INFO]  Epoch: 02 | Review: 755141/16709911 | Lr: 0.47741 | Smooth loss: 11.94102
[INFO]  Epoch: 02 | Review: 767941/16709911 | Lr: 0.47702 | Smooth loss: 12.07991
[INFO]  Epoch: 02 | Review: 780741/16709911 | Lr: 0.47664 | Smooth loss: 11.93188
[INFO]  Epoch: 02 | Review: 793541/16709911 | Lr: 0.47626 | Smooth loss: 12.06862
[INFO]  Epoch: 02 | Review: 806341/16709911 | Lr: 0.47587 | Smooth loss: 11.73712
[INFO]  Epoch: 02 | Review: 819141/16709911 | Lr: 0.47549 | Smooth loss: 11.61035
[INFO]  Epoch: 02 | Review: 831941/16709911 | Lr: 0.47511 | Smooth loss: 11.64186
[INFO]  Epoch: 02 | Review: 844741/16709911 | Lr: 0.47473 | Smooth loss: 11.57900
[INFO]  Epoch: 02 | Review: 857541/16709911 | Lr: 0.47434 | Smooth loss: 11.60902
[INFO]  Epoch: 02 | Review: 870341/16709911 | Lr: 0.47396 | Smooth loss: 11.56507
[INFO]  Epoch: 02 | Review: 883141/16709911 | Lr: 0.47358 | Smooth loss: 11.47918
[INFO]  Epoch: 02 | Review: 895941/16709911 | Lr: 0.47319 | Smooth loss: 11.38159
[INFO]  Epoch: 02 | Review: 908741/16709911 | Lr: 0.47281 | Smooth loss: 11.52032
[INFO]  Epoch: 02 | Review: 921541/16709911 | Lr: 0.47243 | Smooth loss: 11.30930
[INFO]  Epoch: 02 | Review: 934341/16709911 | Lr: 0.47204 | Smooth loss: 11.27339
